mStop,xsec_pb,uncertainty_percent,uncertainty_relative,uncertainty_up_relative,uncertainty_down_relative,source_file,parsing_status
1685,0.0001408,19.87,0.19870000000000002,0.19870000000000002,0.19870000000000002,signal_xsec.txt,parsed
1690,0.0001371,20.01,0.20010000000000003,0.20010000000000003,0.20010000000000003,signal_xsec.txt,parsed
1695,0.0001335,20.15,0.20149999999999998,0.20149999999999998,0.20149999999999998,signal_xsec.txt,parsed
1700,0.0001299,20.29,0.2029,0.2029,0.2029,signal_xsec.txt,parsed
1705,0.0001265,20.43,0.2043,0.2043,0.2043,signal_xsec.txt,parsed
1710,0.0001232,20.57,0.2057,0.2057,0.2057,signal_xsec.txt,parsed
1715,0.0001199,20.71,0.2071,0.2071,0.2071,signal_xsec.txt,parsed
1720,0.0001168,20.85,0.20850000000000002,0.20850000000000002,0.20850000000000002,signal_xsec.txt,parsed
1725,0.0001137,20.99,0.20989999999999998,0.20989999999999998,0.20989999999999998,signal_xsec.txt,parsed
1730,0.0001107,21.14,0.2114,0.2114,0.2114,signal_xsec.txt,parsed
1735,0.0001078,21.28,0.21280000000000002,0.21280000000000002,0.21280000000000002,signal_xsec.txt,parsed
1740,0.000105,21.43,0.2143,0.2143,0.2143,signal_xsec.txt,parsed
1745,0.0001022,21.58,0.2158,0.2158,0.2158,signal_xsec.txt,parsed
1750,9.956e-05,21.73,0.2173,0.2173,0.2173,signal_xsec.txt,parsed
1755,9.697e-05,21.88,0.2188,0.2188,0.2188,signal_xsec.txt,parsed
1760,9.444e-05,22.04,0.22039999999999998,0.22039999999999998,0.22039999999999998,signal_xsec.txt,parsed
1765,9.198e-05,22.19,0.22190000000000001,0.22190000000000001,0.22190000000000001,signal_xsec.txt,parsed
1770,8.959e-05,22.35,0.2235,0.2235,0.2235,signal_xsec.txt,parsed
1775,8.727e-05,22.51,0.22510000000000002,0.22510000000000002,0.22510000000000002,signal_xsec.txt,parsed
1780,8.5e-05,22.66,0.2266,0.2266,0.2266,signal_xsec.txt,parsed
1785,8.28e-05,22.83,0.22829999999999998,0.22829999999999998,0.22829999999999998,signal_xsec.txt,parsed
1790,8.066e-05,22.99,0.2299,0.2299,0.2299,signal_xsec.txt,parsed
1795,7.857e-05,23.15,0.23149999999999998,0.23149999999999998,0.23149999999999998,signal_xsec.txt,parsed
1800,7.654e-05,23.32,0.2332,0.2332,0.2332,signal_xsec.txt,parsed
1805,7.457e-05,23.49,0.2349,0.2349,0.2349,signal_xsec.txt,parsed
1810,7.265e-05,23.66,0.2366,0.2366,0.2366,signal_xsec.txt,parsed
1815,7.078e-05,23.84,0.2384,0.2384,0.2384,signal_xsec.txt,parsed
1820,6.896e-05,24.02,0.2402,0.2402,0.2402,signal_xsec.txt,parsed
1825,6.718e-05,24.2,0.242,0.242,0.242,signal_xsec.txt,parsed
1830,6.546e-05,24.38,0.2438,0.2438,0.2438,signal_xsec.txt,parsed
1835,6.378e-05,24.56,0.24559999999999998,0.24559999999999998,0.24559999999999998,signal_xsec.txt,parsed
1840,6.215e-05,24.74,0.24739999999999998,0.24739999999999998,0.24739999999999998,signal_xsec.txt,parsed
1845,6.056e-05,24.93,0.2493,0.2493,0.2493,signal_xsec.txt,parsed
1850,5.901e-05,25.11,0.2511,0.2511,0.2511,signal_xsec.txt,parsed
1855,5.751e-05,25.3,0.253,0.253,0.253,signal_xsec.txt,parsed
1860,5.604e-05,25.49,0.25489999999999996,0.25489999999999996,0.25489999999999996,signal_xsec.txt,parsed
1865,5.461e-05,25.68,0.2568,0.2568,0.2568,signal_xsec.txt,parsed
1870,5.322e-05,25.87,0.2587,0.2587,0.2587,signal_xsec.txt,parsed
1875,5.187e-05,26.06,0.2606,0.2606,0.2606,signal_xsec.txt,parsed
1880,5.055e-05,26.25,0.2625,0.2625,0.2625,signal_xsec.txt,parsed
